series n=2 k=2 (below, 0.0s): delta [3, 4] formula-mismatch orders []
n=2 k=3 degree 6: 3 rows, rank 3, open orders 2
n=2 k=3 degree 5: 6 rows, rank 6, open orders 0
series n=2 k=3 (below, 0.0s): delta [5, 5, 6] formula-mismatch orders []
n=2 k=4 degree 8: 4 rows, rank 4, open orders 3
n=2 k=4 degree 7: 8 rows, rank 9, open orders 1
n=2 k=4 degree 6: 7 rows, rank 10, open orders 0
series n=2 k=4 (below, 0.0s): delta [6, 7, 7, 8] formula-mismatch orders []
n=2 k=5 degree 10: 5 rows, rank 5, open orders 4
n=2 k=5 degree 9: 10 rows, rank 12, open orders 2
n=2 k=5 degree 8: 9 rows, rank 15, open orders 0
series n=2 k=5 (below, 0.0s): delta [8, 8, 9, 9, 10] formula-mismatch orders [0]
n=2 k=6 degree 12: 6 rows, rank 6, open orders 5
n=2 k=6 degree 11: 12 rows, rank 15, open orders 3
n=2 k=6 degree 10: 11 rows, rank 20, open orders 1
n=2 k=6 degree 9: 10 rows, rank 21, open orders 0
series n=2 k=6 (below, 0.0s): delta [9, 10, 10, 11, 11, 12] formula-mismatch orders [0, 1]
n=2 k=7 degree 14: 7 rows, rank 7, open orders 6
n=2 k=7 degree 13: 14 rows, rank 18, open orders 4
n=2 k=7 degree 12: 13 rows, rank 25, open orders 2
n=2 k=7 degree 11: 12 rows, rank 28, open orders 0
series n=2 k=7 (below, 0.0s): delta [11, 11, 12, 12, 13, 13, 14] formula-mismatch orders [0, 1, 2]
n=2 k=8 degree 16: 8 rows, rank 8, open orders 7
n=2 k=8 degree 15: 16 rows, rank 21, open orders 5
n=2 k=8 degree 14: 15 rows, rank 30, open orders 3
n=2 k=8 degree 13: 14 rows, rank 35, open orders 1
n=2 k=8 degree 12: 13 rows, rank 36, open orders 0
series n=2 k=8 (below, 0.0s): delta [12, 13, 13, 14, 14, 15, 15, 16] formula-mismatch orders [0, 1, 2, 3]
n=2 k=9 degree 18: 9 rows, rank 9, open orders 8
n=2 k=9 degree 17: 18 rows, rank 24, open orders 6
n=2 k=9 degree 16: 17 rows, rank 35, open orders 4
n=2 k=9 degree 15: 16 rows, rank 42, open orders 2
n=2 k=9 degree 14: 15 rows, rank 45, open orders 0
series n=2 k=9 (below, 0.0s): delta [14, 14, 15, 15, 16, 16, 17, 17, 18] formula-mismatch orders [0, 1, 2, 3, 4]
n=2 k=10 degree 20: 10 rows, rank 10, open orders 9
n=2 k=10 degree 19: 20 rows, rank 27, open orders 7
n=2 k=10 degree 18: 19 rows, rank 40, open orders 5
n=2 k=10 degree 17: 18 rows, rank 49, open orders 3
n=2 k=10 degree 16: 17 rows, rank 54, open orders 1
n=2 k=10 degree 15: 16 rows, rank 55, open orders 0
series n=2 k=10 (below, 0.0s): delta [15, 16, 16, 17, 17, 18, 18, 19, 19, 20] formula-mismatch orders [0, 1, 2, 3, 4, 5]
n=2 k=11 degree 22: 11 rows, rank 11, open orders 10
n=2 k=11 degree 21: 22 rows, rank 30, open orders 8
n=2 k=11 degree 20: 21 rows, rank 45, open orders 6
n=2 k=11 degree 19: 20 rows, rank 56, open orders 4
n=2 k=11 degree 18: 19 rows, rank 63, open orders 2
n=2 k=11 degree 17: 18 rows, rank 66, open orders 0
series n=2 k=11 (below, 0.0s): delta [17, 17, 18, 18, 19, 19, 20, 20, 21, 21, 22] formula-mismatch orders [0, 1, 2, 3, 4, 5, 6]
n=2 k=12 degree 24: 12 rows, rank 12, open orders 11
n=2 k=12 degree 23: 24 rows, rank 33, open orders 9
n=2 k=12 degree 22: 23 rows, rank 50, open orders 7
n=2 k=12 degree 21: 22 rows, rank 63, open orders 5
n=2 k=12 degree 20: 21 rows, rank 72, open orders 3
n=2 k=12 degree 19: 20 rows, rank 77, open orders 1
n=2 k=12 degree 18: 19 rows, rank 78, open orders 0
series n=2 k=12 (below, 0.0s): delta [18, 19, 19, 20, 20, 21, 21, 22, 22, 23, 23, 24] formula-mismatch orders [0, 1, 2, 3, 4, 5, 6, 7]
n=2 k=13 degree 26: 13 rows, rank 13, open orders 12
n=2 k=13 degree 25: 26 rows, rank 36, open orders 10
n=2 k=13 degree 24: 25 rows, rank 55, open orders 8
n=2 k=13 degree 23: 24 rows, rank 70, open orders 6
n=2 k=13 degree 22: 23 rows, rank 81, open orders 4
n=2 k=13 degree 21: 22 rows, rank 88, open orders 2
n=2 k=13 degree 20: 21 rows, rank 91, open orders 0
series n=2 k=13 (below, 0.0s): delta [20, 20, 21, 21, 22, 22, 23, 23, 24, 24, 25, 25, 26] formula-mismatch orders [0, 1, 2, 3, 4, 5, 6, 7, 8]
n=2 k=14 degree 28: 14 rows, rank 14, open orders 13
n=2 k=14 degree 27: 28 rows, rank 39, open orders 11
n=2 k=14 degree 26: 27 rows, rank 60, open orders 9
n=2 k=14 degree 25: 26 rows, rank 77, open orders 7
n=2 k=14 degree 24: 25 rows, rank 90, open orders 5
n=2 k=14 degree 23: 24 rows, rank 99, open orders 3
n=2 k=14 degree 22: 23 rows, rank 104, open orders 1
