N6d4k3 {'N': 6, 'd': 4, 'k': 3, 'seed': 1, 's': 21, 'matching_monomials': 539, 'q': 238, 'w_image': 28, 'good': 28, 'multipliers': 21, 'h_sweep': [9, 10, 11, 12, 13, 14]}
N8d4k3 {'N': 8, 'd': 4, 'k': 3, 'seed': 2, 's': 27, 'matching_monomials': 1577, 'q': 969, 'w_image': 181, 'good': 181, 'multipliers': 27, 'h_sweep': [28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]}
N8d4k4 {'N': 8, 'd': 4, 'k': 4, 'seed': 5, 's': 27, 'matching_monomials': 4292, 'q': 1014, 'w_image': 84, 'good': 84, 'multipliers': 285, 'h_sweep': [2, 3, 4, 5]}
N9d4k4 {'N': 9, 'd': 4, 'k': 4, 'seed': 6, 's': 30, 'matching_monomials': 6738, 'q': 2678, 'w_image': 468, 'good': 468, 'multipliers': 353, 'h_sweep': [5, 6, 7, 8, 9]}
jobs 357
{'config': 'N8d4k3', 'h': 37, 'kind': 'square', 'trial': 0, 'beta': 962, 'w_image': 181, 'actual': 174, 'predicted': 174}
{'config': 'N8d4k3', 'h': 37, 'kind': 'square', 'trial': 1, 'beta': 962, 'w_image': 181, 'actual': 174, 'predicted': 174}
{'config': 'N8d4k3', 'h': 37, 'kind': 'square', 'trial': 2, 'beta': 962, 'w_image': 181, 'actual': 174, 'predicted': 174}
{'config': 'N8d4k3', 'h': 37, 'kind': 'square', 'trial': 3, 'beta': 962, 'w_image': 181, 'actual': 174, 'predicted': 174}
{'config': 'N8d4k3', 'h': 37, 'kind': 'randomW', 'trial': 0, 'beta': 962, 'w_image': 181, 'actual': 174, 'predicted': 174}
{'config': 'N8d4k3', 'h': 37, 'kind': 'randomW', 'trial': 1, 'beta': 962, 'w_image': 181, 'actual': 174, 'predicted': 174}
{'config': 'N8d4k3', 'h': 37, 'kind': 'randomW', 'trial': 2, 'beta': 962, 'w_image': 181, 'actual': 174, 'predicted': 174}
{'config': 'N8d4k3', 'h': 37, 'kind': 'randomW', 'trial': 3, 'beta': 962, 'w_image': 181, 'actual': 174, 'predicted': 174}
{'config': 'N8d4k4', 'h': 4, 'kind': 'square', 'trial': 2, 'beta': 888, 'w_image': 84, 'actual': 1, 'predicted': 0}
{'config': 'N8d4k4', 'h': 5, 'kind': 'square', 'trial': 2, 'beta': 1001, 'w_image': 84, 'actual': 71, 'predicted': 71}
{'config': 'N8d4k4', 'h': 5, 'kind': 'randomW', 'trial': 0, 'beta': 1013, 'w_image': 84, 'actual': 83, 'predicted': 83}
{'config': 'N9d4k4', 'h': 5, 'kind': 'square', 'trial': 2, 'beta': 1471, 'w_image': 468, 'actual': 1, 'predicted': 0}
{'config': 'N9d4k4', 'h': 7, 'kind': 'square', 'trial': 2, 'beta': 2062, 'w_image': 468, 'actual': 2, 'predicted': 0}
{'config': 'N9d4k4', 'h': 7, 'kind': 'generic', 'trial': 0, 'beta': 2275, 'w_image': 468, 'actual': 65, 'predicted': 65}
{'config': 'N9d4k4', 'h': 7, 'kind': 'generic', 'trial': 1, 'beta': 2275, 'w_image': 468, 'actual': 65, 'predicted': 65}
{'config': 'N9d4k4', 'h': 7, 'kind': 'generic', 'trial': 2, 'beta': 2275, 'w_image': 468, 'actual': 65, 'predicted': 65}
{'config': 'N9d4k4', 'h': 8, 'kind': 'square', 'trial': 0, 'beta': 2345, 'w_image': 468, 'actual': 135, 'predicted': 135}
{'config': 'N9d4k4', 'h': 8, 'kind': 'square', 'trial': 1, 'beta': 2355, 'w_image': 468, 'actual': 145, 'predicted': 145}
{'config': 'N9d4k4', 'h': 8, 'kind': 'square', 'trial': 2, 'beta': 2342, 'w_image': 468, 'actual': 132, 'predicted': 132}
{'config': 'N9d4k4', 'h': 8, 'kind': 'generic', 'trial': 0, 'beta': 2596, 'w_image': 468, 'actual': 386, 'predicted': 386}
{'config': 'N9d4k4', 'h': 8, 'kind': 'generic', 'trial': 1, 'beta': 2596, 'w_image': 468, 'actual': 386, 'predicted': 386}
{'config': 'N9d4k4', 'h': 8, 'kind': 'generic', 'trial': 2, 'beta': 2596, 'w_image': 468, 'actual': 386, 'predicted': 386}
{'config': 'N9d4k4', 'h': 8, 'kind': 'randomW', 'trial': 0, 'beta': 2355, 'w_image': 468, 'actual': 145, 'predicted': 145}
{'config': 'N9d4k4', 'h': 8, 'kind': 'randomW', 'trial': 1, 'beta': 2356, 'w_image': 468, 'actual': 146, 'predicted': 146}
{'config': 'N9d4k4', 'h': 8, 'kind': 'randomW', 'trial': 2, 'beta': 2353, 'w_image': 468, 'actual': 143, 'predicted': 143}
{'config': 'N9d4k4', 'h': 9, 'kind': 'square', 'trial': 0, 'beta': 2646, 'w_image': 468, 'actual': 436, 'predicted': 436}
{'config': 'N9d4k4', 'h': 9, 'kind': 'square', 'trial': 1, 'beta': 2639, 'w_image': 468, 'actual': 429, 'predicted': 429}
{'config': 'N9d4k4', 'h': 9, 'kind': 'square', 'trial': 2, 'beta': 2646, 'w_image': 468, 'actual': 436, 'predicted': 436}
{'config': 'N9d4k4', 'h': 9, 'kind': 'randomW', 'trial': 0, 'beta': 2641, 'w_image': 468, 'actual': 431, 'predicted': 431}
{'config': 'N9d4k4', 'h': 9, 'kind': 'randomW', 'trial': 1, 'beta': 2646, 'w_image': 468, 'actual': 436, 'predicted': 436}
{'config': 'N9d4k4', 'h': 9, 'kind': 'randomW', 'trial': 2, 'beta': 2645, 'w_image': 468, 'actual': 435, 'predicted': 435}
