# command: /home/kbr/.claude/jobs/fa5ec4c8/tmp/bin/bmd_cube_nu_squarefree 1000003 3 905036 993870 890299 96034 88995 378597 @research/results/bmd-r108-degree-vectors/nu-n3.txt
# run 49cd10f843, session bmd-r108; full output
n=3 nu=2,4,1,-1,5,3,4,0 N=26: deg 280 (homogeneous 280) a1:44 a2:40 a3:48 a1-a2:22 a1-a3:33 a2-a3:12 | rest 81, deg gcd(R,R')=0, factors: 42^1 2^1 2^1 4^1 15^1 16^1 | SQUAREFREE
n=3 nu=5,3,3,2,-1,3,2,0 N=25: deg 261 (homogeneous 261) a1:39 a2:40 a3:31 a1-a2:37 a1-a3:31 a2-a3:23 | rest 60, deg gcd(R,R')=0, factors: 35^1 1^1 2^1 7^1 15^1 | SQUAREFREE
n=3 nu=4,2,3,-1,3,2,4,-1 N=24: deg 238 (homogeneous 238) a1:27 a2:40 a3:49 a1-a2:18 a1-a3:21 a2-a3:36 | rest 47, deg gcd(R,R')=0, factors: 21^1 1^1 1^1 3^1 9^1 12^1 | SQUAREFREE
n=3 nu=-1,4,2,4,0,3,-1,2 N=21: deg 178 (homogeneous 178) a1:19 a2:37 a3:35 a1-a2:9 a1-a3:7 a2-a3:29 | rest 42, deg gcd(R,R')=0, factors: 32^1 1^1 1^1 4^1 4^1 | SQUAREFREE
n=3 nu=2,3,4,3,4,3,-1,2 N=28: deg 334 (homogeneous 334) a1:52 a2:43 a3:43 a1-a2:34 a1-a3:34 a2-a3:53 | rest 75, deg gcd(R,R')=0, factors: 29^1 1^1 1^1 2^1 6^1 11^1 25^1 | SQUAREFREE
n=3 nu=3,2,3,0,5,3,2,4 N=30: deg 386 (homogeneous 386) a1:55 a2:57 a3:53 a1-a2:50 a1-a3:34 a2-a3:35 | rest 102, deg gcd(R,R')=0, factors: 75^1 1^1 3^1 23^1 | SQUAREFREE
n=3 nu=4,-1,0,-1,2,4,-1,-1 N=14: deg 68 (homogeneous 68) a1:15 a2:5 a3:15 a1-a2:0 a1-a3:20 a2-a3:1 | rest 12, deg gcd(R,R')=0, factors: 9^1 3^1 | SQUAREFREE
n=3 nu=3,0,4,2,5,0,-1,4 N=25: deg 256 (homogeneous 256) a1:25 a2:28 a3:40 a1-a2:43 a1-a3:23 a2-a3:26 | rest 71, deg gcd(R,R')=0, factors: 60^1 1^1 3^1 7^1 | SQUAREFREE
n=3 nu=-1,1,-1,5,4,4,5,-1 N=24: deg 225 (homogeneous 225) a1:25 a2:42 a3:10 a1-a2:25 a1-a3:40 a2-a3:25 | rest 58, deg gcd(R,R')=0, factors: 45^1 3^1 3^1 7^1 | SQUAREFREE
n=3 nu=3,1,5,2,-1,3,0,2 N=23: deg 219 (homogeneous 219) a1:29 a2:42 a3:23 a1-a2:17 a1-a3:25 a2-a3:13 | rest 70, deg gcd(R,R')=0, factors: 23^1 1^1 1^1 3^1 4^1 11^1 13^1 14^1 | SQUAREFREE
n=3 nu=-1,3,4,5,4,4,1,2 N=30: deg 380 (homogeneous 380) a1:61 a2:49 a3:48 a1-a2:32 a1-a3:32 a2-a3:62 | rest 96, deg gcd(R,R')=0, factors: 50^1 3^1 11^1 14^1 18^1 | SQUAREFREE
n=3 nu=0,1,5,-1,5,0,2,1 N=21: deg 175 (homogeneous 175) a1:14 a2:26 a3:26 a1-a2:11 a1-a3:10 a2-a3:38 | rest 50, deg gcd(R,R')=0, factors: 25^1 1^1 1^1 1^1 5^1 5^1 12^1 | SQUAREFREE
n=3 nu=5,5,4,3,2,1,1,3 N=32: deg 439 (homogeneous 439) a1:70 a2:68 a3:56 a1-a2:55 a1-a3:39 a2-a3:39 | rest 112, deg gcd(R,R')=0, factors: 71^1 2^1 6^1 9^1 24^1 | SQUAREFREE
n=3 nu=-1,4,5,0,3,-1,0,1 N=19: deg 139 (homogeneous 139) a1:8 a2:9 a3:8 a1-a2:31 a1-a3:23 a2-a3:22 | rest 38, deg gcd(R,R')=0, factors: 17^1 1^1 1^1 2^1 3^1 6^1 8^1 | SQUAREFREE
n=3 nu=0,4,-1,3,0,2,2,2 N=20: deg 165 (homogeneous 165) a1:17 a2:32 a3:28 a1-a2:9 a1-a3:10 a2-a3:21 | rest 48, deg gcd(R,R')=0, factors: 46^1 1^1 1^1 | SQUAREFREE
n=3 nu=5,3,2,3,2,0,1,1 N=25: deg 265 (homogeneous 265) a1:43 a2:42 a3:36 a1-a2:36 a1-a3:21 a2-a3:22 | rest 65, deg gcd(R,R')=0, factors: 41^1 7^1 17^1 | SQUAREFREE
n=3 nu=1,5,-1,0,1,0,-1,1 N=14: deg 73 (homogeneous 73) a1:14 a2:8 a3:12 a1-a2:4 a1-a3:6 a2-a3:7 | rest 22, deg gcd(R,R')=0, factors: 12^1 1^1 4^1 5^1 | SQUAREFREE
n=3 nu=3,1,2,5,1,3,4,5 N=32: deg 439 (homogeneous 439) a1:64 a2:58 a3:67 a1-a2:34 a1-a3:47 a2-a3:34 | rest 135, deg gcd(R,R')=0, factors: 66^1 1^1 1^1 3^1 4^1 5^1 23^1 32^1 | SQUAREFREE
n=3 nu=1,5,-1,2,4,4,0,5 N=28: deg 324 (homogeneous 324) a1:43 a2:53 a3:58 a1-a2:23 a1-a3:28 a2-a3:41 | rest 78, deg gcd(R,R')=0, factors: 66^1 1^1 2^1 3^1 6^1 | SQUAREFREE
