n=2 nu=3,-1,3,-1 N=8: deg 16 (homogeneous 16) a1:0 a2:16 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=3,0,-1,-1 N=5: deg 4 (homogeneous 4) a1:4 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=3,0,0,-1 N=6: deg 9 (homogeneous 9) a1:4 a2:4 a1-a2:1 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=3,0,0,0 N=7: deg 15 (homogeneous 15) a1:5 a2:5 a1-a2:3 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=3,0,1,-1 N=7: deg 14 (homogeneous 14) a1:4 a2:8 a1-a2:1 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=3,0,1,0 N=8: deg 21 (homogeneous 21) a1:6 a2:9 a1-a2:3 | rest 3, deg gcd(R,R')=0, factors: 1^1 1^1 1^1 | SQUAREFREE
n=2 nu=3,0,2,-1 N=8: deg 19 (homogeneous 19) a1:4 a2:12 a1-a2:1 | rest 2, deg gcd(R,R')=0, factors: 1^1 1^1 | SQUAREFREE
n=2 nu=3,0,2,0 N=9: deg 27 (homogeneous 27) a1:7 a2:13 a1-a2:3 | rest 4, deg gcd(R,R')=0, factors: 1^1 1^1 1^1 1^1 | SQUAREFREE
n=2 nu=3,0,3,-1 N=9: deg 24 (homogeneous 24) a1:4 a2:16 a1-a2:1 | rest 3, deg gcd(R,R')=0, factors: 3^1 | SQUAREFREE
n=2 nu=3,0,3,0 N=10: deg 33 (homogeneous 33) a1:8 a2:17 a1-a2:3 | rest 5, deg gcd(R,R')=0, factors: 5^1 | SQUAREFREE
n=2 nu=3,1,-1,-1 N=6: deg 8 (homogeneous 8) a1:8 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=3,1,0,-1 N=7: deg 14 (homogeneous 14) a1:8 a2:4 a1-a2:1 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=3,1,0,0 N=8: deg 21 (homogeneous 21) a1:9 a2:6 a1-a2:3 | rest 3, deg gcd(R,R')=0, factors: 1^1 1^1 1^1 | SQUAREFREE
n=2 nu=3,1,1,-1 N=8: deg 20 (homogeneous 20) a1:8 a2:8 a1-a2:4 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=3,1,1,0 N=9: deg 28 (homogeneous 28) a1:10 a2:10 a1-a2:6 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=3,1,1,1 N=10: deg 36 (homogeneous 36) a1:12 a2:12 a1-a2:10 | rest 2, deg gcd(R,R')=0, factors: 1^1 1^1 | SQUAREFREE
n=2 nu=3,1,2,-1 N=9: deg 26 (homogeneous 26) a1:8 a2:12 a1-a2:4 | rest 2, deg gcd(R,R')=0, factors: 1^1 1^1 | SQUAREFREE
n=2 nu=3,1,2,0 N=10: deg 35 (homogeneous 35) a1:11 a2:14 a1-a2:6 | rest 4, deg gcd(R,R')=0, factors: 4^1 | SQUAREFREE
n=2 nu=3,1,2,1 N=11: deg 44 (homogeneous 44) a1:14 a2:16 a1-a2:10 | rest 4, deg gcd(R,R')=0, factors: 1^1 1^1 1^1 1^1 | SQUAREFREE
n=2 nu=3,1,3,-1 N=10: deg 32 (homogeneous 32) a1:8 a2:16 a1-a2:4 | rest 4, deg gcd(R,R')=0, factors: 1^1 3^1 | SQUAREFREE
