n=2 nu=-1,2,0,-1 N=4: deg 3 (homogeneous 3) a1:0 a2:0 a1-a2:1 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=-1,2,0,0 N=5: deg 7 (homogeneous 7) a1:1 a2:3 a1-a2:1 | rest 2, deg gcd(R,R')=0, factors: 1^1 1^1 | SQUAREFREE
n=2 nu=-1,2,0,1 N=6: deg 11 (homogeneous 11) a1:2 a2:6 a1-a2:1 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=-1,2,0,2 N=7: deg 15 (homogeneous 15) a1:3 a2:9 a1-a2:1 | rest 2, deg gcd(R,R')=0, factors: 1^1 1^1 | SQUAREFREE
n=2 nu=-1,2,0,3 N=8: deg 19 (homogeneous 19) a1:4 a2:12 a1-a2:1 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=-1,2,0,4 N=9: deg 23 (homogeneous 23) a1:5 a2:15 a1-a2:1 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=-1,2,1,-1 N=5: deg 6 (homogeneous 6) a1:0 a2:0 a1-a2:4 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=-1,2,1,0 N=6: deg 11 (homogeneous 11) a1:2 a2:3 a1-a2:4 | rest 2, deg gcd(R,R')=0, factors: 1^1 1^1 | SQUAREFREE
n=2 nu=-1,2,1,1 N=7: deg 16 (homogeneous 16) a1:4 a2:6 a1-a2:4 | rest 2, deg gcd(R,R')=0, factors: 1^1 1^1 | SQUAREFREE
n=2 nu=-1,2,1,2 N=8: deg 21 (homogeneous 21) a1:6 a2:9 a1-a2:4 | rest 2, deg gcd(R,R')=0, factors: 1^1 1^1 | SQUAREFREE
n=2 nu=-1,2,1,3 N=9: deg 26 (homogeneous 26) a1:8 a2:12 a1-a2:4 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=-1,2,1,4 N=10: deg 31 (homogeneous 31) a1:10 a2:15 a1-a2:4 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=-1,2,2,-1 N=6: deg 9 (homogeneous 9) a1:0 a2:0 a1-a2:9 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,2,2,0 N=7: deg 15 (homogeneous 15) a1:3 a2:3 a1-a2:9 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,2,2,1 N=8: deg 21 (homogeneous 21) a1:6 a2:6 a1-a2:9 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,2,2,2 N=9: deg 27 (homogeneous 27) a1:9 a2:9 a1-a2:9 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,2,2,3 N=10: deg 33 (homogeneous 33) a1:12 a2:12 a1-a2:9 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
